sleeve,entry_ts,exit_ts,entry,exit,reason,pnl,ret_pct,hold_bars,date_sgt
MAIN_4H_RANGE,2026-05-06 14:15:00+00:00,2026-05-06 18:15:00+00:00,81407.8,81420.6,TIME,-7.295648726927635,-0.10428612491677342,16,2026-05-07
MAIN_4H_RANGE,2026-05-07 16:15:00+00:00,2026-05-07 18:45:00+00:00,79802.8,80160.1,SELL_RANGE,22.884563409639835,0.32746001393435187,10,2026-05-08
MAIN_4H_RANGE,2026-05-11 02:30:00+00:00,2026-05-11 06:30:00+00:00,81197.7,80784.1,TIME,-44.1063422261143,-0.6290684095731669,16,2026-05-11
MAIN_4H_RANGE,2026-05-13 13:45:00+00:00,2026-05-13 17:45:00+00:00,79811.9,79470.1,TIME,-38.18075979452705,-0.5479999849646335,16,2026-05-14
MAIN_4H_RANGE,2026-05-15 14:00:00+00:00,2026-05-15 17:45:00+00:00,78727.8,79432.1,SELL_RANGE,53.63595870591621,0.7740646379042763,15,2026-05-16
MAIN_4H_RANGE,2026-05-18 01:30:00+00:00,2026-05-18 05:30:00+00:00,76856.2,76865.8,TIME,-7.507599601132523,-0.10751663496242876,16,2026-05-18
MAIN_4H_RANGE,2026-05-18 14:45:00+00:00,2026-05-18 18:45:00+00:00,76451.5,76221.6,TIME,-29.333139911277996,-0.42053309614591494,16,2026-05-19
MAIN_4H_RANGE,2026-05-22 20:00:00+00:00,2026-05-23 00:00:00+00:00,75827.1,75440.0,TIME,-43.772926379899005,-0.6301971986268838,16,2026-05-23
MAIN_4H_RANGE,2026-05-24 14:30:00+00:00,2026-05-24 18:00:00+00:00,76379.4,76703.6,SELL_RANGE,20.99673876183593,0.3042053223775149,14,2026-05-25
MAIN_4H_RANGE,2026-05-26 14:45:00+00:00,2026-05-26 18:45:00+00:00,76788.1,75822.6,TIME,-95.30410053991575,-1.3766018693000608,16,2026-05-27
MAIN_4H_RANGE,2026-05-26 19:00:00+00:00,2026-05-26 23:00:00+00:00,75822.6,75867.6,TIME,-4.143612372317739,-0.06068654992047227,16,2026-05-27
MAIN_4H_RANGE,2026-05-27 14:15:00+00:00,2026-05-27 18:15:00+00:00,74983.7,74880.9,TIME,-17.538003910347133,-0.2570142044204312,16,2026-05-28
MAIN_4H_RANGE,2026-05-27 23:00:00+00:00,2026-05-28 03:00:00+00:00,74389.9,74181.0,TIME,-27.269061836139592,-0.4006492010340036,16,2026-05-28
MAIN_4H_RANGE,2026-05-28 03:45:00+00:00,2026-05-28 07:45:00+00:00,73396.7,73467.0,SELL_RANGE,-1.6457016230291357,-0.024276595541757442,16,2026-05-28
MAIN_4H_RANGE,2026-05-29 14:45:00+00:00,2026-05-29 15:00:00+00:00,72619.7,73664.7,SELL_RANGE,89.33452592788215,1.3181400639220489,1,2026-05-29
MAIN_4H_RANGE,2026-06-01 08:15:00+00:00,2026-06-01 12:15:00+00:00,72792.9,72198.6,TIME,-64.26693044523661,-0.9359359223220787,16,2026-06-01
MAIN_4H_RANGE,2026-06-01 13:15:00+00:00,2026-06-01 17:15:00+00:00,71820.9,71707.3,TIME,-18.91576468556545,-0.2780763259719542,16,2026-06-02
MAIN_4H_RANGE,2026-06-02 07:15:00+00:00,2026-06-02 11:15:00+00:00,70020.0,69464.8,TIME,-61.89501687653347,-0.9124405598400415,16,2026-06-02
MAIN_4H_RANGE,2026-06-02 14:30:00+00:00,2026-06-02 18:30:00+00:00,67858.6,67280.1,TIME,-65.33368885781911,-0.971996504496114,16,2026-06-03
MAIN_4H_RANGE,2026-06-02 19:30:00+00:00,2026-06-02 20:45:00+00:00,66949.9,67556.0,SELL_RANGE,52.23602361358457,0.784760634444571,5,2026-06-03
MAIN_4H_RANGE,2026-06-02 23:00:00+00:00,2026-06-03 03:00:00+00:00,66354.3,66488.0,TIME,5.458923416097457,0.08137320414803123,16,2026-06-03
MAIN_4H_RANGE,2026-06-03 03:30:00+00:00,2026-06-03 05:00:00+00:00,66118.1,67104.9,SELL_RANGE,92.08763563886153,1.3715853903847635,6,2026-06-03
MAIN_4H_RANGE,2026-06-03 15:45:00+00:00,2026-06-03 19:45:00+00:00,66281.6,65428.6,TIME,-95.70312760484876,-1.4061611669000253,16,2026-06-04
MAIN_4H_RANGE,2026-06-03 21:00:00+00:00,2026-06-04 00:15:00+00:00,64971.8,63410.292,STOP_BREAK,-169.22938909130522,-2.521920672045413,13,2026-06-04
MAIN_4H_RANGE,2026-06-04 00:30:00+00:00,2026-06-04 02:00:00+00:00,63310.2,61445.934,STOP_BREAK,-200.34976541410074,-3.062886676080625,6,2026-06-04
MAIN_4H_RANGE,2026-06-04 02:15:00+00:00,2026-06-04 03:15:00+00:00,62365.3,63891.0,SELL_RANGE,147.42289750020504,2.324924629561626,4,2026-06-04
MAIN_4H_RANGE,2026-06-04 07:30:00+00:00,2026-06-04 11:30:00+00:00,63664.1,62199.9,TIME,-156.91993523104276,-2.418503363748168,16,2026-06-04
MAIN_4H_RANGE,2026-06-04 11:45:00+00:00,2026-06-04 12:30:00+00:00,62200.0,63527.8,SELL_RANGE,127.48090904906586,2.0134458520900367,3,2026-06-04
MAIN_4H_RANGE,2026-06-04 17:30:00+00:00,2026-06-04 19:15:00+00:00,63204.6,64100.3,SELL_RANGE,83.72605510899272,1.2962934026953803,7,2026-06-05
MAIN_4H_RANGE,2026-06-05 02:45:00+00:00,2026-06-05 04:45:00+00:00,62705.1,63588.9,SELL_RANGE,84.30795677951501,1.288609060507045,8,2026-06-05
MAIN_4H_RANGE,2026-06-05 06:00:00+00:00,2026-06-05 06:15:00+00:00,62294.1,61312.68,STOP_BREAK,-112.29241768714499,-1.6945169253588996,1,2026-06-05
MAIN_4H_RANGE,2026-06-05 06:30:00+00:00,2026-06-05 07:45:00+00:00,61642.4,63075.6,SELL_RANGE,143.5571679067781,2.2036280222703803,5,2026-06-05
MAIN_4H_RANGE,2026-06-05 11:45:00+00:00,2026-06-05 13:45:00+00:00,62087.7,60962.616,STOP_BREAK,-128.56704589691924,-1.9310011316250968,8,2026-06-05
MAIN_4H_RANGE,2026-06-05 14:00:00+00:00,2026-06-05 18:00:00+00:00,60700.4,60593.5,TIME,-19.327834116497176,-0.29600519930676145,16,2026-06-06
MAIN_4H_RANGE,2026-06-05 18:45:00+00:00,2026-06-05 20:30:00+00:00,59921.6,61241.8,SELL_RANGE,135.53606157911997,2.0818902699527455,7,2026-06-06
MAIN_4H_RANGE,2026-06-06 04:15:00+00:00,2026-06-06 05:45:00+00:00,60103.3,60918.9,SELL_RANGE,82.15291393353509,1.2361828385463003,6,2026-06-06
MAIN_4H_RANGE,2026-06-06 10:30:00+00:00,2026-06-06 14:30:00+00:00,60499.7,60924.4,SELL_RANGE,39.126546486453165,0.5815657598302213,16,2026-06-06
MAIN_4H_RANGE,2026-06-07 12:30:00+00:00,2026-06-07 16:15:00+00:00,61916.7,62143.5,SELL_RANGE,16.651894064068607,0.24607881233980972,15,2026-06-08
MAIN_4H_RANGE,2026-06-07 19:45:00+00:00,2026-06-07 22:00:00+00:00,61191.6,63625.4,SELL_RANGE,261.5023169966689,3.854956889507715,9,2026-06-08
MAIN_4H_RANGE,2026-06-08 04:45:00+00:00,2026-06-08 07:15:00+00:00,62676.7,63152.0,SELL_RANGE,44.9379347989355,0.6378810307498686,10,2026-06-08
MAIN_4H_RANGE,2026-06-09 00:45:00+00:00,2026-06-09 04:30:00+00:00,62677.6,63213.5,SELL_RANGE,52.074290316502,0.7344973961989634,15,2026-06-09
MAIN_4H_RANGE,2026-06-09 14:30:00+00:00,2026-06-09 18:30:00+00:00,61572.2,61576.7,TIME,-8.048544571633581,-0.11269589197722349,16,2026-06-10
MAIN_4H_RANGE,2026-06-10 18:45:00+00:00,2026-06-10 22:45:00+00:00,61750.6,61353.2,TIME,-54.442893135192094,-0.7631703659559607,16,2026-06-11
MAIN_4H_RANGE,2026-06-10 23:15:00+00:00,2026-06-11 00:15:00+00:00,61180.6,61860.5,SELL_RANGE,70.13056005796459,0.9906332072585124,4,2026-06-11
MAIN_4H_RANGE,2026-06-12 07:00:00+00:00,2026-06-12 09:00:00+00:00,62956.0,63536.4,SELL_RANGE,57.29289647701955,0.8013605692864881,8,2026-06-12
SG_FILTERED_RANGE,2026-06-12 07:00:00+00:00,2026-06-12 09:00:00+00:00,62956.0,63536.4,SELL_RANGE,24.026392588347488,0.8013605692864881,8,2026-06-12
MAIN_4H_RANGE,2026-06-17 09:00:00+00:00,2026-06-17 12:45:00+00:00,64889.9,65005.3,SELL_RANGE,4.160648557107258,0.05773299080442635,15,2026-06-17
MAIN_4H_RANGE,2026-06-17 19:30:00+00:00,2026-06-17 23:30:00+00:00,64436.5,64413.4,TIME,-11.236526850966658,-0.15582773738486502,16,2026-06-18
MAIN_4H_RANGE,2026-06-18 04:30:00+00:00,2026-06-18 07:30:00+00:00,63911.9,64402.8,SELL_RANGE,46.62681265019012,0.6476277187816377,12,2026-06-18
MAIN_4H_RANGE,2026-06-18 15:45:00+00:00,2026-06-18 19:45:00+00:00,62755.1,62925.4,SELL_RANGE,10.956988662077032,0.15120954312877027,16,2026-06-19
MAIN_4H_RANGE,2026-06-22 00:00:00+00:00,2026-06-22 00:45:00+00:00,63287.2,63867.2,SELL_RANGE,57.76038444620248,0.795907166062016,3,2026-06-22
MAIN_4H_RANGE,2026-06-22 16:30:00+00:00,2026-06-22 20:30:00+00:00,64661.5,64457.4,TIME,-31.853049611893177,-0.43545438939708875,16,2026-06-23
MAIN_4H_RANGE,2026-06-23 06:30:00+00:00,2026-06-23 08:15:00+00:00,62740.0,61907.076,STOP_BREAK,-105.37018053068799,-1.4467839426203364,7,2026-06-23
MAIN_4H_RANGE,2026-06-23 08:30:00+00:00,2026-06-23 12:30:00+00:00,61999.7,62308.7,TIME,27.138400539111657,0.37809047463132894,16,2026-06-23
MAIN_4H_RANGE,2026-06-24 13:15:00+00:00,2026-06-24 16:45:00+00:00,62012.6,59512.068,STOP_BREAK,-298.9933703156779,-4.1498772842938365,14,2026-06-25
MAIN_4H_RANGE,2026-06-24 17:00:00+00:00,2026-06-24 20:00:00+00:00,59808.3,60648.7,SELL_RANGE,88.69537830883489,1.2843130468513468,12,2026-06-25
MAIN_4H_RANGE,2026-06-25 14:00:00+00:00,2026-06-25 18:00:00+00:00,58248.4,59375.3,TIME,126.84773094310648,1.8134846279039452,16,2026-06-26
MAIN_4H_RANGE,2026-06-26 01:45:00+00:00,2026-06-26 03:45:00+00:00,59293.2,60015.0,SELL_RANGE,78.09468530991126,1.0966098642002842,8,2026-06-26
MAIN_4H_RANGE,2026-06-26 10:00:00+00:00,2026-06-26 13:45:00+00:00,59709.3,60153.3,SELL_RANGE,44.86422159015563,0.6231565936964594,15,2026-06-26
MAIN_4H_RANGE,2026-06-29 02:15:00+00:00,2026-06-29 02:30:00+00:00,58998.3,59751.4,SELL_RANGE,83.72373067361036,1.1557115713503585,1,2026-06-29
MAIN_4H_RANGE,2026-06-29 13:45:00+00:00,2026-06-29 17:00:00+00:00,59432.2,60440.7,SELL_RANGE,115.48025296696076,1.5758734490730615,13,2026-06-30
MAIN_4H_RANGE,2026-06-30 01:15:00+00:00,2026-06-30 05:15:00+00:00,59797.8,59356.4,TIME,-63.84309256662441,-0.857711353929411,16,2026-06-30
MAIN_4H_RANGE,2026-06-30 13:15:00+00:00,2026-06-30 17:15:00+00:00,58430.3,58372.4,TIME,-16.16379303092451,-0.2190329674843385,16,2026-07-01
MAIN_4H_RANGE,2026-07-01 08:30:00+00:00,2026-07-01 12:30:00+00:00,58590.3,58373.0,TIME,-36.12940260116133,-0.4906579758082872,16,2026-07-01
MAIN_4H_RANGE,2026-07-02 00:00:00+00:00,2026-07-02 02:45:00+00:00,59999.6,60392.5,SELL_RANGE,39.160637483138885,0.5344447962986445,11,2026-07-02
MAIN_4H_RANGE,2026-07-02 07:30:00+00:00,2026-07-02 09:30:00+00:00,60138.5,61065.6,SELL_RANGE,104.65439578706022,1.4206831563806854,8,2026-07-02
MAIN_4H_RANGE,2026-07-02 16:30:00+00:00,2026-07-02 18:30:00+00:00,61169.5,61740.9,SELL_RANGE,60.78204805850598,0.8135651918031068,8,2026-07-03
MAIN_4H_RANGE,2026-07-06 12:45:00+00:00,2026-07-06 15:30:00+00:00,61787.7,62883.9,SELL_RANGE,124.5065650431073,1.6530750294961691,11,2026-07-06
MAIN_4H_RANGE,2026-07-07 03:15:00+00:00,2026-07-07 07:00:00+00:00,63300.1,63364.8,SELL_RANGE,-1.366624246744566,-0.017849798025588625,15,2026-07-07
MAIN_4H_RANGE,2026-07-07 14:45:00+00:00,2026-07-07 15:15:00+00:00,62919.5,63718.4,SELL_RANGE,87.95114728762164,1.1489558245059186,2,2026-07-07
