ts,fundingRate
2026-03-16 08:00:00+00:00,7.8885664794e-05
2026-03-16 16:00:00+00:00,-1.648756255e-07
2026-03-17 00:00:00+00:00,5.00328523885e-05
2026-03-17 08:00:00+00:00,4.16486037836e-05
2026-03-17 16:00:00+00:00,3.9450946648e-06
2026-03-18 00:00:00+00:00,-2.45336260436e-05
2026-03-18 08:00:00+00:00,3.36895262029e-05
2026-03-18 16:00:00+00:00,1.23692285928e-05
2026-03-19 00:00:00+00:00,-2.7648992258e-05
2026-03-19 08:00:00+00:00,1.60589892444e-05
2026-03-19 16:00:00+00:00,5.49617269995e-05
2026-03-20 00:00:00+00:00,-3.6905678952e-05
2026-03-20 08:00:00+00:00,2.2698433752e-06
2026-03-20 16:00:00+00:00,6.68030328443e-05
2026-03-21 00:00:00+00:00,6.7856864602e-06
2026-03-21 08:00:00+00:00,-2.47462758734e-05
2026-03-21 16:00:00+00:00,-5.2769333675e-06
2026-03-22 00:00:00+00:00,1.64339575202e-05
2026-03-22 08:00:00+00:00,-5.15599694098e-05
2026-03-22 16:00:00+00:00,-7.14489917954e-05
2026-03-23 00:00:00+00:00,-4.05035515868e-05
2026-03-23 08:00:00+00:00,-8.2662703162e-06
2026-03-23 16:00:00+00:00,1.70797364529e-05
2026-03-24 00:00:00+00:00,-3.5453151373e-06
2026-03-24 08:00:00+00:00,8.09354252358e-05
2026-03-24 16:00:00+00:00,5.86921208147e-05
2026-03-25 00:00:00+00:00,1.76070262256e-05
2026-03-25 08:00:00+00:00,3.12259263346e-05
2026-03-25 16:00:00+00:00,2.59915621775e-05
2026-03-26 00:00:00+00:00,7.63095564466e-05
2026-03-26 08:00:00+00:00,0.0001
2026-03-26 16:00:00+00:00,3.36134989715e-05
2026-03-27 00:00:00+00:00,7.57377571938e-05
2026-03-27 08:00:00+00:00,6.64216597265e-05
2026-03-27 16:00:00+00:00,-4.3944230417e-05
2026-03-28 00:00:00+00:00,-3.01444125971e-05
2026-03-28 08:00:00+00:00,1.08919631806e-05
2026-03-28 16:00:00+00:00,7.0108210259e-06
2026-03-29 00:00:00+00:00,8.0041340323e-06
2026-03-29 08:00:00+00:00,-5.35964612843e-05
2026-03-29 16:00:00+00:00,3.57270982646e-05
2026-03-30 00:00:00+00:00,2.92937196826e-05
2026-03-30 08:00:00+00:00,6.22041878665e-05
2026-03-30 16:00:00+00:00,2.0762196202e-05
2026-03-31 00:00:00+00:00,1.91571494699e-05
2026-03-31 08:00:00+00:00,0.0001
2026-03-31 16:00:00+00:00,1.51375879817e-05
2026-04-01 00:00:00+00:00,3.48803230529e-05
