date,equity,cash,btc,unrealized_pnl,realized_pnl,last_action,last_price,updated_at
2026-08-05,10000.00,10000.00,0,0.00,0.00,WAIT,64345.01,2026-08-05T11:16:05.187041+08:00
2026-08-11,10000.00,10000.00,0,0.00,0.00,WAIT,64020.01,2026-08-11T22:37:04.998088+08:00
2026-08-12,10000.00,10000.00,0,0.00,0.00,WAIT,63435,2026-08-12T23:55:05.585634+00:00
2026-08-13,10000.00,10000.00,0,0.00,0.00,WAIT,63488.97,2026-08-13T23:23:35.512461+00:00
2026-08-14,10000.00,10000.00,0,0.00,0.00,WAIT,63042.92,2026-08-14T23:59:08.243894+00:00
2026-08-15,10000.00,10000.00,0,0.00,0.00,WAIT,63080.68,2026-08-15T23:54:43.542238+00:00
2026-08-16,10000.00,10000.00,0,0.00,0.00,WAIT,62901.5,2026-08-16T23:53:47.997054+00:00
2026-08-17,10000.00,10000.00,0,0.00,0.00,WAIT,64485.01,2026-08-17T23:56:02.472200+00:00
2026-08-18,10000.00,10000.00,0,0.00,0.00,WAIT,64740.51,2026-08-18T23:55:29.278846+00:00
2026-08-19,10000.00,10000.00,0,0.00,0.00,WAIT,69275,2026-08-19T23:56:07.330725+00:00
2026-08-20,10000.00,10000.00,0,0.00,0.00,WAIT,73040,2026-08-20T23:57:35.238423+00:00
2026-08-21,10000.00,10000.00,0,0.00,0.00,WAIT,78289.43,2026-08-21T23:56:51.399527+00:00
2026-08-22,10000.00,10000.00,0,0.00,0.00,WAIT,77098.73,2026-08-22T23:55:14.737029+00:00
2026-08-23,10000.00,10000.00,0,0.00,0.00,WAIT,77627.14,2026-08-23T23:54:58.511680+00:00
2026-08-24,10000.00,10000.00,0,0.00,0.00,WAIT,78850,2026-08-24T23:55:14.615946+00:00
2026-08-25,10000.00,10000.00,0,0.00,0.00,WAIT,78575.86,2026-08-25T23:57:19.126838+00:00
2026-08-26,10000.00,10000.00,0,0.00,0.00,WAIT,79050.84,2026-08-26T23:48:26.125578+00:00
2026-08-27,10000.00,10000.00,0,0.00,0.00,WAIT,80276.04,2026-08-27T16:36:26.965350+00:00
2026-08-28,10000.00,10000.00,0,0.00,0.00,WAIT,77716.15,2026-08-28T22:40:29.284951+00:00
2026-08-29,10000.00,10000.00,0,0.00,0.00,WAIT,78240,2026-08-29T23:17:27.330408+00:00
2026-08-30,10000.00,10000.00,0,0.00,0.00,WAIT,78740.24,2026-08-30T22:03:15.863837+00:00
2026-08-31,10000.00,10000.00,0,0.00,0.00,WAIT,78554.21,2026-08-31T23:21:34.444214+00:00
2026-09-01,10000.00,10000.00,0,0.00,0.00,WAIT,77582.45,2026-09-01T23:50:42.253121+00:00
2026-09-02,10000.00,10000.00,0,0.00,0.00,WAIT,77155.01,2026-09-02T23:25:19.842671+00:00
2026-09-03,10000.00,10000.00,0,0.00,0.00,WAIT,81176,2026-09-03T22:57:28.635163+00:00
2026-09-04,10000.00,10000.00,0,0.00,0.00,WAIT,79735,2026-09-04T23:29:59.333364+00:00
2026-09-05,10000.00,10000.00,0,0.00,0.00,WAIT,79829.72,2026-09-05T23:51:29.518015+00:00
2026-09-06,10000.00,10000.00,0,0.00,0.00,WAIT,79902.01,2026-09-06T20:54:44.060674+00:00
