ts,type,details,net_usd,net_bps
2026-07-30T17:52:39.412073+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-07-30T18:28:07.325658+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-07-30T18:45:26.644109+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-07-30T20:44:04.167368+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-07-30T21:52:31.617791+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-07-30T22:52:43.141741+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-07-30T23:27:16.475673+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-01T22:01:30.478420+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-01T23:40:41.812429+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-05T02:44:50.318108+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T02:46:09.661433+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T02:55:46.351294+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T02:57:05.722197+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T02:58:25.017715+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T02:59:44.371651+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:01:03.664709+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:02:22.985023+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:03:42.307823+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:05:01.719359+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:06:11.014578+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:07:30.331579+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:08:49.702163+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:10:08.921790+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:11:28.567640+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:12:48.018460+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:14:07.420083+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:15:26.875886+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T03:16:46.150402+00:00,depeg,"TUSD dev=-42.0bps",27.00,0.0
2026-08-05T03:18:05.474420+00:00,depeg,"TUSD dev=-42.0bps",27.00,0.0
2026-08-05T03:19:14.781266+00:00,depeg,"TUSD dev=-42.0bps",27.00,0.0
2026-08-05T03:20:24.286560+00:00,depeg,"TUSD dev=-42.0bps",27.00,0.0
2026-08-05T03:21:43.887693+00:00,depeg,"TUSD dev=-42.0bps",27.00,0.0
2026-08-05T03:23:03.307912+00:00,depeg,"TUSD dev=-42.0bps",27.00,0.0
2026-08-05T03:24:22.553331+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-05T03:25:41.823362+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-05T03:27:01.207664+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-05T19:47:30.212629+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-05T19:48:40.043000+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-05T20:49:20.403620+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T21:41:02.547746+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T21:58:45.384579+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T22:24:16.791820+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T22:48:34.315000+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T23:04:44.303473+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-05T23:06:03.784871+00:00,depeg,"TUSD dev=-41.0bps",26.00,0.0
2026-08-06T01:35:00.911230+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-06T01:52:59.320583+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-06T02:04:45.919862+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-06T02:39:37.028584+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-06T03:05:12.822462+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-06T03:53:44.194577+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-06T03:55:08.022823+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-07T12:13:21.280352+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-07T12:47:01.971718+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
2026-08-08T21:24:05.019925+00:00,depeg,"TUSD dev=-40.0bps",25.00,0.0
