ts,coin,gross_bps,best_buy,best_sell,mid_price
2026-06-30T11:55:18.603096+00:00,BTC,0.865,okx,binance,59206.36
2026-06-30T11:55:18.603096+00:00,ETH,0.000,binance,bybit,1578.18
2026-06-30T11:55:18.603096+00:00,SOL,0.000,bybit,binance,73.44
2026-06-30T11:55:18.603096+00:00,BNB,0.000,binance,binance,547.63
2026-06-30T11:55:18.603096+00:00,XRP,0.963,bybit,okx,1.04
2026-06-30T11:55:18.603096+00:00,DOGE,0.000,binance,okx,0.07
2026-06-30T11:55:18.603096+00:00,ADA,0.000,binance,okx,0.14
2026-06-30T11:55:18.603096+00:00,AVAX,1.530,binance,bybit,6.54
2026-06-30T11:55:18.603096+00:00,LINK,0.000,binance,okx,7.26
2026-06-30T11:55:18.603096+00:00,DOT,0.000,okx,bybit,0.81
2026-06-30T11:55:18.603096+00:00,TRX,0.000,okx,binance,0.32
2026-06-30T11:55:18.603096+00:00,SHIB,0.000,okx,bybit,0.00
2026-06-30T11:55:18.603096+00:00,ATOM,0.000,binance,okx,1.51
2026-06-30T11:56:20.738776+00:00,BTC,0.946,bybit,okx,59171.30
2026-06-30T11:56:20.738776+00:00,ETH,1.141,bybit,okx,1578.07
2026-06-30T11:56:20.738776+00:00,SOL,2.726,bybit,okx,73.37
2026-06-30T11:56:20.738776+00:00,BNB,0.000,binance,binance,547.17
2026-06-30T11:56:20.738776+00:00,XRP,0.964,bybit,okx,1.04
2026-06-30T11:56:20.738776+00:00,DOGE,4.207,binance,okx,0.07
2026-06-30T11:56:20.738776+00:00,ADA,0.000,binance,binance,0.14
2026-06-30T11:56:20.738776+00:00,AVAX,0.000,binance,binance,6.53
2026-06-30T11:56:20.738776+00:00,LINK,0.000,binance,binance,7.25
2026-06-30T11:56:20.738776+00:00,DOT,0.000,okx,bybit,0.81
2026-06-30T11:56:20.738776+00:00,TRX,2.520,okx,binance,0.32
2026-06-30T11:56:20.738776+00:00,SHIB,-2.374,bybit,okx,0.00
2026-06-30T11:56:20.738776+00:00,ATOM,0.000,binance,okx,1.51
2026-06-30T11:57:23.554321+00:00,BTC,1.524,okx,binance,59173.91
2026-06-30T11:57:23.554321+00:00,ETH,0.761,okx,binance,1577.70
2026-06-30T11:57:23.554321+00:00,SOL,0.000,bybit,binance,73.36
2026-06-30T11:57:23.554321+00:00,BNB,0.000,binance,binance,547.38
2026-06-30T11:57:23.554321+00:00,XRP,0.964,bybit,binance,1.04
2026-06-30T11:57:23.554321+00:00,DOGE,1.402,binance,okx,0.07
2026-06-30T11:57:23.554321+00:00,ADA,0.000,binance,okx,0.14
2026-06-30T11:57:23.554321+00:00,AVAX,0.000,binance,okx,6.53
2026-06-30T11:57:23.554321+00:00,LINK,0.000,bybit,binance,7.25
2026-06-30T11:57:23.554321+00:00,DOT,0.000,okx,bybit,0.81
2026-06-30T11:57:23.554321+00:00,TRX,1.575,okx,binance,0.32
2026-06-30T11:57:23.554321+00:00,SHIB,-2.373,bybit,okx,0.00
2026-06-30T11:57:23.554321+00:00,ATOM,0.000,binance,binance,1.51
2026-06-30T11:58:26.601381+00:00,BTC,0.896,okx,binance,59169.35
2026-06-30T11:58:26.601381+00:00,ETH,0.444,binance,okx,1577.32
2026-06-30T11:58:26.601381+00:00,SOL,0.000,binance,okx,73.36
2026-06-30T11:58:26.601381+00:00,BNB,0.000,binance,binance,547.37
2026-06-30T11:58:26.601381+00:00,XRP,0.964,bybit,binance,1.04
2026-06-30T11:58:26.601381+00:00,DOGE,0.000,binance,okx,0.07
2026-06-30T11:58:26.601381+00:00,ADA,0.000,binance,okx,0.14
2026-06-30T11:58:26.601381+00:00,AVAX,0.000,binance,binance,6.53
2026-06-30T11:58:26.601381+00:00,LINK,0.000,binance,bybit,7.25
2026-06-30T11:58:26.601381+00:00,DOT,1.232,okx,bybit,0.81
2026-06-30T11:58:26.601381+00:00,TRX,3.152,okx,binance,0.32
2026-06-30T11:58:26.601381+00:00,SHIB,-2.371,bybit,okx,0.00
2026-06-30T11:58:26.601381+00:00,ATOM,0.000,binance,binance,1.51
2026-06-30T11:59:27.984313+00:00,BTC,0.336,binance,okx,59183.01
2026-06-30T11:59:27.984313+00:00,ETH,0.570,binance,okx,1578.49
2026-06-30T11:59:27.984313+00:00,SOL,0.000,binance,binance,73.40
2026-06-30T11:59:27.984313+00:00,BNB,0.000,binance,binance,547.61
2026-06-30T11:59:27.984313+00:00,XRP,0.963,bybit,okx,1.04
2026-06-30T11:59:27.984313+00:00,DOGE,0.000,binance,okx,0.07
2026-06-30T11:59:27.984313+00:00,ADA,0.000,binance,bybit,0.14
2026-06-30T11:59:27.984313+00:00,AVAX,0.000,binance,okx,6.54
2026-06-30T11:59:27.984313+00:00,LINK,0.000,binance,binance,7.26
2026-06-30T11:59:27.984313+00:00,DOT,1.232,binance,bybit,0.81
2026-06-30T11:59:27.984313+00:00,TRX,0.945,okx,binance,0.32
2026-06-30T11:59:27.984313+00:00,SHIB,0.000,okx,okx,0.00
2026-06-30T11:59:27.984313+00:00,ATOM,0.000,binance,binance,1.51
2026-06-30T12:01:37.612395+00:00,BTC,0.998,bybit,okx,59148.25
2026-06-30T12:01:37.612395+00:00,ETH,1.141,bybit,binance,1577.75
2026-06-30T12:01:37.612395+00:00,SOL,0.000,binance,binance,73.34
2026-06-30T12:01:37.612395+00:00,BNB,0.000,binance,binance,547.40
2026-06-30T12:01:37.612395+00:00,XRP,0.000,bybit,binance,1.04
2026-06-30T12:01:37.612395+00:00,DOGE,0.000,binance,okx,0.07
2026-06-30T12:01:37.612395+00:00,ADA,0.000,binance,okx,0.14
2026-06-30T12:01:37.612395+00:00,AVAX,0.000,binance,bybit,6.52
2026-06-30T12:01:37.612395+00:00,LINK,0.000,binance,okx,7.25
2026-06-30T12:01:37.612395+00:00,DOT,2.466,binance,bybit,0.81
2026-06-30T12:01:37.612395+00:00,TRX,0.945,okx,binance,0.32
2026-06-30T12:01:37.612395+00:00,SHIB,0.000,bybit,okx,0.00
2026-06-30T12:01:37.612395+00:00,ATOM,0.000,binance,okx,1.51
2026-06-30T12:02:30.823862+00:00,BTC,0.643,bybit,okx,59110.30
2026-06-30T12:02:30.823862+00:00,ETH,1.078,bybit,okx,1577.10
2026-06-30T12:02:30.823862+00:00,SOL,0.000,binance,okx,73.27
2026-06-30T12:02:30.823862+00:00,BNB,1.462,binance,okx,547.26
2026-06-30T12:02:30.823862+00:00,XRP,0.964,binance,okx,1.04
2026-06-30T12:02:30.823862+00:00,DOGE,0.000,binance,okx,0.07
2026-06-30T12:02:30.823862+00:00,ADA,0.000,binance,binance,0.14
2026-06-30T12:02:30.823862+00:00,AVAX,0.000,okx,binance,6.52
2026-06-30T12:02:30.823862+00:00,LINK,0.000,binance,okx,7.25
2026-06-30T12:02:30.823862+00:00,DOT,-1.233,okx,bybit,0.81
2026-06-30T12:02:30.823862+00:00,TRX,0.945,okx,binance,0.32
2026-06-30T12:02:30.823862+00:00,SHIB,-2.375,binance,okx,0.00
2026-06-30T12:02:30.823862+00:00,ATOM,0.000,binance,binance,1.51
2026-06-30T12:02:37.486411+00:00,BTC,0.643,bybit,okx,59110.30
2026-06-30T12:02:37.486411+00:00,ETH,1.902,bybit,okx,1577.03
2026-06-30T12:02:37.486411+00:00,SOL,0.000,binance,bybit,73.27
2026-06-30T12:02:37.486411+00:00,BNB,2.376,binance,okx,547.23
2026-06-30T12:02:37.486411+00:00,XRP,0.964,binance,okx,1.04
2026-06-30T12:02:37.486411+00:00,DOGE,1.405,binance,bybit,0.07
2026-06-30T12:02:37.486411+00:00,ADA,0.000,binance,binance,0.14
2026-06-30T12:02:37.486411+00:00,AVAX,1.535,okx,binance,6.52
2026-06-30T12:02:37.486411+00:00,LINK,0.000,binance,okx,7.25
2026-06-30T12:02:37.486411+00:00,DOT,-1.233,okx,bybit,0.81
2026-06-30T12:02:37.486411+00:00,TRX,0.945,okx,binance,0.32
2026-06-30T12:02:37.486411+00:00,SHIB,0.000,binance,bybit,0.00
